,GAME_ID,EVENTNUM,EVENTMSGTYPE,PERSON1TYPE,TIMEOUT_TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
14568,21900558,114,9,2.0,1610612737,Atlanta Hawks,ATL
14645,21900558,235,9,2.0,1610612737,Atlanta Hawks,ATL
14685,21900558,288,9,2.0,1610612737,Atlanta Hawks,ATL
14724,21900558,338,9,3.0,1610612745,Houston Rockets,HOU
14815,21900558,467,9,2.0,1610612737,Atlanta Hawks,ATL
14857,21900558,525,9,3.0,1610612745,Houston Rockets,HOU
14915,21900558,613,9,2.0,1610612737,Atlanta Hawks,ATL
14966,21900558,682,9,3.0,1610612745,Houston Rockets,HOU
15000,21900558,724,9,3.0,1610612745,Houston Rockets,HOU
15026,21900558,760,9,2.0,1610612737,Atlanta Hawks,ATL
15075,21900543,60,9,2.0,1610612737,Atlanta Hawks,ATL
15134,21900543,145,9,3.0,1610612743,Denver Nuggets,DEN
15179,21900543,216,9,2.0,1610612737,Atlanta Hawks,ATL
15199,21900543,244,9,2.0,1610612737,Atlanta Hawks,ATL
15297,21900543,392,9,2.0,1610612737,Atlanta Hawks,ATL
15318,21900543,421,9,3.0,1610612743,Denver Nuggets,DEN
15349,21900543,469,9,3.0,1610612743,Denver Nuggets,DEN
15395,21900543,541,9,3.0,1610612743,Denver Nuggets,DEN
15434,21900543,598,9,2.0,1610612737,Atlanta Hawks,ATL
15461,21900543,635,9,3.0,1610612743,Denver Nuggets,DEN
15482,21900543,660,9,2.0,1610612737,Atlanta Hawks,ATL
15536,21900526,47,9,3.0,1610612754,Indiana Pacers,IND
15576,21900526,104,9,3.0,1610612754,Indiana Pacers,IND
15633,21900526,194,9,2.0,1610612737,Atlanta Hawks,ATL
15679,21900526,262,9,2.0,1610612737,Atlanta Hawks,ATL
15781,21900526,414,9,2.0,1610612737,Atlanta Hawks,ATL
15818,21900526,470,9,3.0,1610612754,Indiana Pacers,IND
15858,21900526,531,9,3.0,1610612754,Indiana Pacers,IND
15901,21900526,590,9,2.0,1610612737,Atlanta Hawks,ATL
15931,21900526,635,9,3.0,1610612754,Indiana Pacers,IND
15955,21900526,662,9,3.0,1610612754,Indiana Pacers,IND
15965,21900526,676,9,2.0,1610612737,Atlanta Hawks,ATL
15972,21900526,686,9,3.0,1610612754,Indiana Pacers,IND
15980,21900526,697,9,2.0,1610612737,Atlanta Hawks,ATL
16030,21900517,54,9,2.0,1610612738,Boston Celtics,BOS
16064,21900517,99,9,3.0,1610612737,Atlanta Hawks,ATL
16133,21900517,202,9,3.0,1610612737,Atlanta Hawks,ATL
16204,21900517,297,9,3.0,1610612737,Atlanta Hawks,ATL
16259,21900517,383,9,3.0,1610612737,Atlanta Hawks,ATL
16281,21900517,411,9,3.0,1610612737,Atlanta Hawks,ATL
16330,21900517,484,9,2.0,1610612738,Boston Celtics,BOS
16388,21900517,572,9,3.0,1610612737,Atlanta Hawks,ATL
16399,21900517,591,9,2.0,1610612738,Boston Celtics,BOS
16421,21900517,623,9,2.0,1610612738,Boston Celtics,BOS
16466,21900517,680,9,3.0,1610612737,Atlanta Hawks,ATL
16532,21900491,72,9,3.0,1610612737,Atlanta Hawks,ATL
16562,21900491,115,9,2.0,1610612753,Orlando Magic,ORL
16622,21900491,197,9,2.0,1610612753,Orlando Magic,ORL
